190,17.1,1303.7,2.99
191,16.82,1298.12,2.93
192,17.04,1288.76,2.95
193,17.02,1292.72,2.95
194,17.31,1295.95,3.01
195,17.19,1307.83,3.02
196,17.37,1299.94,3.03
197,17.28,1307.15,3.03
198,17.27,1308.03,3.03
199,17.36,1306.15,3.04
200,17.33,1305.18,3.03
201,17.16,1301.7,3
202,17.36,1294.17,3.01
203,17.37,1296.38,3.02
204,16.85,1300.55,2.94
205,16.6,1300.35,2.9
206,15.92,1301.87,2.78
207,16.86,1298.32,2.94
208,16.45,1298.81,2.87
209,16.24,1291.08,2.81
210,16.13,1300.59,2.82
211,16.27,1296.53,2.83
212,15.78,1096.31,2.32
213,15.52,1015.14,2.11
214,13.91,1216.96,2.27
215,13.84,1300.92,2.42
216,14.37,1293.83,2.5
217,14.69,1305.46,2.57
218,14.99,1302.66,2.62
219,15.04,1301.69,2.63
220,14.97,1302.19,2.62
221,14.89,1298.54,2.6
222,14.89,1294.81,2.59
223,14.51,1294.57,2.52
224,14.48,1303.34,2.53
225,14.54,1304.21,2.55
226,14.49,1305.02,2.54
227,14.51,1303.8,2.54
228,14.43,1304.27,2.53
229,14.58,1298.69,2.54
230,14.51,1299.78,2.53
231,14.61,1297.54,2.54
232,14.84,1298.88,2.59
233,14.79,1298.59,2.58
234,14.86,1295.83,2.58
235,14.72,1299.41,2.57
236,15.05,1301.48,2.63
237,15.33,1300.41,2.67
238,15.03,1295.74,2.61
239,14.78,1299.61,2.58
240,14.93,1297.29,2.6
241,14.79,1307.97,2.6
242,14.66,1308.04,2.57
243,14.73,1297.58,2.57
244,14.71,1305.8,2.58
245,14.67,1300.1,2.56
246,14.63,1298.06,2.55
247,14.49,1304.55,2.54
248,14.73,1296.01,2.56
249,14.63,1297.61,2.55
250,14.64,1298.84,2.55
251,14.62,1300.37,2.55
252,14.64,1300.14,2.56
253,14.65,1306.24,2.57
254,14.5,1297.15,2.53
255,14.58,1291.48,2.53
256,14.57,1300.09,2.54
257,14.5,1302.04,2.53
258,14.47,1304.03,2.53
259,14.6,1300.17,2.55
260,14.64,1305.17,2.56
261,14.81,1299.92,2.58
262,15.24,1291.21,2.64
263,15.2,1293.03,2.64
264,15,1295.44,2.61
265,14.83,1308.18,2.6
266,14.91,1305.94,2.61
267,14.85,1292.1,2.57
268,14.87,1296.91,2.59
269,14.92,1299.81,2.6
270,14.89,1297.42,2.59
271,14.71,1306.76,2.58
272,14.8,1298.06,2.58
273,14.64,1301.39,2.56
274,14.57,1305.86,2.55
275,14.67,1305.88,2.57
276,14.7,1295.66,2.56
277,13.9,1297.7,2.42
278,13.57,1302.16,2.37
279,13.71,1305.73,2.4
280,14.1,1304.54,2.47
281,14.16,1301.15,2.47
282,14.12,1303.6,2.47
283,14.1,1294.12,2.45
284,14.21,1298.57,2.48
285,14.27,1297.07,2.48
286,14.23,1296.64,2.48
287,14.28,1298.69,2.49
288,14.39,1301.06,2.51
289,14.53,1299.48,2.53
